Epoch,Val Loss,Val Acc (%),EMA Val Acc (%)
1,1.4433,56.79,18.63
2,1.2897,65.34,14.66
3,1.2353,69.54,11.26
4,1.1277,72.77,35.40
5,1.2527,68.74,24.86
6,1.1140,74.28,23.74
7,1.0211,77.90,20.16
8,1.0637,76.44,17.60
9,0.9486,80.91,16.62
10,0.9581,80.54,15.21
11,1.0832,74.94,14.50
12,0.8848,83.38,15.99
13,1.0817,74.73,17.83
14,0.9121,81.96,25.27
15,0.8586,84.66,58.85
16,0.8886,83.61,74.27
17,0.8880,83.73,86.07
18,0.8970,82.88,87.72
19,0.9026,82.72,88.24
20,1.0221,78.43,89.99
21,0.9781,79.52,88.65
22,1.0486,77.46,89.89
23,0.8980,83.47,90.37
24,0.9345,81.67,89.74
25,0.8461,85.39,87.11
26,0.8834,83.81,91.23
27,0.9391,81.07,90.44
28,0.9566,79.43,91.31
29,0.8212,86.64,90.20
30,0.9845,79.39,91.11
31,0.8554,84.97,90.43
32,0.8535,84.81,90.69
33,0.8549,84.98,89.10
34,0.8319,86.27,90.54
35,0.9007,82.72,90.12
36,0.9006,82.67,92.31
37,0.8567,84.70,92.58
38,0.9915,79.86,90.44
39,0.9016,83.12,92.09
40,0.9370,81.58,91.91
41,0.8161,86.43,90.42
42,0.9853,79.87,90.80
43,0.9287,81.95,91.57
44,0.8262,86.60,92.39
45,1.0445,76.99,92.82
46,0.8206,86.40,92.09
47,0.8996,83.07,92.91
48,0.8595,84.73,91.53
49,0.8198,86.81,93.44
50,0.7878,87.65,92.56
51,0.7631,88.81,92.22
52,0.7875,87.59,91.30
53,0.8131,86.85,90.50
54,0.7870,87.81,91.79
55,0.7828,89.08,92.86
56,0.7791,88.21,93.14
57,0.8020,87.08,89.94
58,0.8144,86.82,92.70
59,0.8331,85.75,91.55
60,0.7556,88.94,85.34
61,0.8437,85.43,92.72
62,0.7665,88.98,92.57
63,0.7683,88.89,92.48
64,0.7689,88.29,93.43
65,0.8060,86.91,92.63
