Epoch,Val Loss,Val Acc,EMA Val Acc,Status
181,0.5859,96.61%,96.84%,↑ New Best
182,0.5899,96.58%,96.70%,
183,0.6038,96.43%,96.62%,
184,0.5910,96.42%,96.59%,
185,0.6001,96.37%,96.47%,
186,0.5932,96.76%,96.67%,↑ New Best
187,0.5883,96.42%,96.63%,
188,0.5875,96.71%,96.71%,
189,0.5875,96.83%,96.82%,↑ New Best
190,0.5893,96.82%,96.85%,
191,0.5894,96.82%,96.91%,
192,0.5870,96.78%,96.93%,
193,0.6037,96.92%,96.90%,↑ New Best
194,0.5822,96.77%,96.89%,
195,0.5798,96.87%,96.82%,
196,0.5933,96.83%,96.81%,
197,0.5805,96.98%,96.84%,↑ New Best
198,0.5793,96.92%,96.88%,
199,0.5814,96.97%,96.94%,
200,0.5801,96.85%,96.85%,
